"id","code"
869,"67921"
870,"58545"
871,"60650"
872,"41251"
873,"32225"
874,"33730"
875,"36818"
876,"76001"
877,"45393"
878,"98927"
879,"71270"
880,"21440"
881,"43401"
882,"71275"
883,"27455"
884,"58550"
885,"20102"
886,"28475"
887,"64776"
888,"64856"
889,"26591"
890,"52354"
891,"96921"
892,"16025"
893,"32659"
894,"33240"
895,"24071"
896,"26565"
897,"73562"
898,"25575"
899,"27750"
900,"34826"
901,"G9487"
902,"25671"
903,"27380"
904,"31084"
905,"61552"
906,"47541"
907,"72146"
908,"93317"
909,"67101"
910,"36860"
911,"57020"
912,"22585"
913,"61312"
914,"95070"
915,"15271"
916,"28322"
917,"43253"
918,"64402"
919,"96161"
920,"39561"
921,"50205"
922,"74363"
923,"32960"
924,"33675"
925,"96119"
926,"37248"
927,"21462"
928,"70160"
929,"49407"
930,"50727"
931,"74190"
932,"27604"
933,"96365"
934,"12015"
935,"68340"
936,"14301"
937,"77331"
938,"58925"
939,"11954"
940,"21159"
941,"25312"
942,"57120"
943,"90461"
944,"72082"
945,"61539"
946,"73706"
947,"29805"
948,"23330"
949,"47562"
950,"21366"
951,"46947"
952,"33502"
953,"19369"
954,"47147"
955,"93320"
956,"67515"
957,"26735"
958,"88356"
959,"19286"
960,"27100"
961,"63746"
962,"44020"
963,"69661"
964,"22110"
965,"62263"
966,"24320"
967,"23184"
968,"50750"
969,"35907"
970,"51840"
971,"93287"
972,"36224"
973,"50526"
974,"98928"
975,"26236"
976,"36660"
977,"95834"
978,"86335"
979,"28175"
980,"42210"
981,"68135"
982,"27816"
983,"29130"
984,"48100"
985,"69602"
986,"35521"
987,"74176"
988,"31368"
989,"33364"
990,"28740"
991,"32810"
992,"50725"
993,"11423"
994,"46600"
995,"97605"
996,"27033"
997,"35721"
998,"44157"
999,"11450"
1000,"62163"
1001,"27222"
1002,"53665"
1003,"60252"
1004,"99407"
1005,"43450"
1006,"69720"
1007,"36460"
1008,"43107"
1009,"13100"
1010,"24138"
1011,"44402"
1012,"56810"
1013,"61583"
1014,"21936"
1015,"21813"
1016,"59525"
